YEAR,MONTH,CHANNEL_Name,TVR,VALUE
2021,1,CH3,1.039,1188633.0
2021,1,CH5,0.016,26298.0
2021,1,CH7,1.613,591472.0
2021,1,MCOT HD,0.183,98140.0
2021,1,NBT,0.037,2647.0
2021,1,THAI PBS,0.072,0.0
2021,1,CH8,0.34,191791.0
2021,1,WORKPOINT TV,0.653,422644.0
2021,1,ONE,0.686,704263.0
2021,1,PPTV,0.191,50421.0
2021,1,MONO 29,0.915,780428.0
2021,1,AMARIN TV,0.635,101786.0
2021,1,NATION TV,0.106,69315.0
2021,1,TNN,0.043,40924.0
2021,1,THAIRATH TV,0.591,210288.0
2021,1,GMM25,0.095,172435.0
2021,1,NEW TV,0.04,22390.0
2021,1,TRUE4U,0.175,73189.0
2021,2,CH3,1.035,1161728.0
2021,2,CH5,0.019,26669.0
2021,2,CH7,1.679,597846.0
2021,2,MCOT HD,0.173,82425.0
2021,2,NBT,0.041,2614.0
2021,2,THAI PBS,0.063,0.0
2021,2,CH8,0.32,193533.0
2021,2,WORKPOINT TV,0.638,419667.0
2021,2,ONE,0.664,705081.0
2021,2,PPTV,0.171,56786.0
2021,2,MONO 29,0.834,837555.0
2021,2,AMARIN TV,0.624,116596.0
2021,2,NATION TV,0.092,66978.0
2021,2,TNN,0.032,37553.0
2021,2,THAIRATH TV,0.6,228831.0
2021,2,GMM25,0.094,182433.0
2021,2,NEW TV,0.039,21152.0
2021,2,TRUE4U,0.145,76813.0
2021,3,CH3,1.039,1491685.0
2021,3,CH5,0.019,30912.0
2021,3,CH7,1.573,765375.0
2021,3,MCOT HD,0.156,132995.0
2021,3,NBT,0.037,5922.0
2021,3,THAI PBS,0.063,0.0
2021,3,CH8,0.309,221163.0
2021,3,WORKPOINT TV,0.626,496053.0
2021,3,ONE,0.713,824119.0
2021,3,PPTV,0.172,70434.0
2021,3,MONO 29,0.809,980391.0
2021,3,AMARIN TV,0.563,145928.0
2021,3,NATION TV,0.089,66386.0
2021,3,TNN,0.028,39253.0
2021,3,THAIRATH TV,0.568,246375.0
2021,3,GMM25,0.102,222972.0
2021,3,NEW TV,0.021,20610.0
2021,3,TRUE4U,0.154,89788.0
2021,4,CH3,1.045,1355078.0
2021,4,CH5,0.021,27386.0
2021,4,CH7,1.45,749892.0
2021,4,MCOT HD,0.172,149333.0
2021,4,NBT,0.038,2676.0
2021,4,THAI PBS,0.075,0.0
2021,4,CH8,0.358,207247.0
2021,4,WORKPOINT TV,0.67,456322.0
2021,4,ONE,0.815,777549.0
2021,4,PPTV,0.193,74461.0
2021,4,MONO 29,0.855,931720.0
2021,4,AMARIN TV,0.579,142683.0
2021,4,NATION TV,0.095,60596.0
2021,4,TNN,0.032,43994.0
2021,4,THAIRATH TV,0.593,242531.0
2021,4,GMM25,0.116,213129.0
2021,4,NEW TV,0.016,21586.0
2021,4,TRUE4U,0.196,85189.0
2021,5,CH3,1.192,1301360.0
2021,5,CH5,0.017,30598.0
2021,5,CH7,1.609,662527.0
2021,5,MCOT HD,0.176,150363.0
2021,5,NBT,0.038,2806.0
2021,5,THAI PBS,0.075,0.0
2021,5,CH8,0.384,201538.0
2021,5,WORKPOINT TV,0.649,435722.0
2021,5,ONE,0.686,794942.0
2021,5,PPTV,0.191,67824.0
2021,5,MONO 29,0.895,917482.0
2021,5,AMARIN TV,0.605,131763.0
2021,5,NATION TV,0.08,71074.0
2021,5,TNN,0.035,46402.0
2021,5,THAIRATH TV,0.569,215581.0
2021,5,GMM25,0.124,218020.0
2021,5,NEW TV,0.018,34640.0
2021,5,TRUE4U,0.207,86515.0
2021,6,CH3,1.138,1256515.0
2021,6,CH5,0.016,28632.0
2021,6,CH7,1.476,659128.0
2021,6,MCOT HD,0.153,158853.0
2021,6,NBT,0.105,36652.0
2021,6,THAI PBS,0.068,0.0
2021,6,CH8,0.394,174727.0
2021,6,WORKPOINT TV,0.544,402327.0
2021,6,ONE,0.601,760943.0
2021,6,PPTV,0.172,92225.0
2021,6,MONO 29,0.841,887503.0
2021,6,AMARIN TV,0.626,111164.0
2021,6,NATION TV,0.087,69065.0
2021,6,TNN,0.03,43637.0
2021,6,THAIRATH TV,0.61,230236.0
2021,6,GMM25,0.117,208721.0
2021,6,JKN 18,0.015,38590.0
2021,6,TRUE4U,0.205,74906.0
2021,7,CH3,1.191,1235384.0
2021,7,CH5,0.019,47768.0
2021,7,CH7,1.418,696424.0
2021,7,MCOT HD,0.154,138104.0
2021,7,NBT,0.075,10719.0
2021,7,THAI PBS,0.097,0.0
2021,7,CH8,0.405,155837.0
2021,7,WORKPOINT TV,0.555,408502.0
2021,7,ONE,0.471,738414.0
2021,7,PPTV,0.234,80799.0
2021,7,MONO 29,0.899,879537.0
2021,7,AMARIN TV,0.579,117361.0
2021,7,NATION TV,0.109,71495.0
2021,7,TNN,0.035,40410.0
2021,7,THAIRATH TV,0.599,211386.0
2021,7,GMM25,0.122,212214.0
2021,7,JKN 18,0.027,41041.0
2021,7,TRUE4U,0.193,72097.0
2021,8,CH3,1.156,1141043.0
2021,8,CH5,0.018,49164.0
2021,8,CH7,1.342,667905.0
2021,8,MCOT HD,0.157,119062.0
2021,8,NBT,0.052,1743.0
2021,8,THAI PBS,0.089,0.0
2021,8,CH8,0.363,177021.0
2021,8,WORKPOINT TV,0.553,371921.0
2021,8,ONE,0.462,719968.0
2021,8,PPTV,0.217,48306.0
2021,8,MONO 29,0.871,830061.0
2021,8,AMARIN TV,0.598,106846.0
2021,8,NATION TV,0.125,73181.0
2021,8,TNN,0.038,39511.0
2021,8,THAIRATH TV,0.63,184210.0
2021,8,GMM25,0.109,207377.0
2021,8,JKN 18,0.026,35514.0
2021,8,TRUE4U,0.178,75689.0
2021,9,CH3,1.073,1137069.0
2021,9,CH5,0.027,48133.0
2021,9,CH7,1.511,639431.0
2021,9,MCOT HD,0.16,118231.0
2021,9,NBT,0.033,2241.0
2021,9,THAI PBS,0.069,0.0
2021,9,CH8,0.366,169352.0
2021,9,WORKPOINT TV,0.581,348263.0
2021,9,ONE,0.535,691535.0
2021,9,PPTV,0.216,58782.0
2021,9,MONO 29,0.863,801917.0
2021,9,AMARIN TV,0.642,114399.0
2021,9,NATION TV,0.14,68842.0
2021,9,TNN,0.034,38153.0
2021,9,THAIRATH TV,0.642,198336.0
2021,9,GMM25,0.099,193455.0
2021,9,JKN 18,0.022,26855.0
2021,9,TRUE4U,0.197,79840.0
2021,10,CH3,1.123,1366453.0
2021,10,CH5,0.026,51085.0
2021,10,CH7,1.507,728672.0
2021,10,MCOT HD,0.158,127652.0
2021,10,NBT,0.03,2228.0
2021,10,THAI PBS,0.07,0.0
2021,10,CH8,0.41,189421.0
2021,10,WORKPOINT TV,0.602,395307.0
2021,10,ONE,0.621,710454.0
2021,10,PPTV,0.27,66092.0
2021,10,MONO 29,0.84,905631.0
2021,10,AMARIN TV,0.599,127548.0
2021,10,NATION TV,0.138,80214.0
2021,10,TNN,0.033,41009.0
2021,10,THAIRATH TV,0.607,214964.0
2021,10,GMM25,0.095,206208.0
2021,10,JKN 18,0.032,19278.0
2021,10,TRUE4U,0.203,83453.0
2021,11,CH3,1.074,1459276.0
2021,11,CH5,0.021,59430.0
2021,11,CH7,1.489,730899.0
2021,11,MCOT HD,0.145,137814.0
2021,11,NBT,0.029,1789.0
2021,11,THAI PBS,0.062,0.0
2021,11,CH8,0.356,190008.0
2021,11,WORKPOINT TV,0.594,403772.0
2021,11,ONE,0.688,699768.0
2021,11,PPTV,0.175,69800.0
2021,11,MONO 29,0.763,923157.0
2021,11,AMARIN TV,0.526,142732.0
2021,11,NATION TV,0.127,76106.0
2021,11,TNN,0.033,38598.0
2021,11,THAIRATH TV,0.594,230619.0
2021,11,GMM25,0.096,202105.0
2021,11,JKN 18,0.032,20751.0
2021,11,TRUE4U,0.188,82438.0
2021,12,CH3,1.078,1492367.0
2021,12,CH5,0.015,53574.0
2021,12,CH7,1.457,707496.0
2021,12,MCOT HD,0.135,146346.0
2021,12,NBT,0.022,2062.0
2021,12,THAI PBS,0.059,0.0
2021,12,CH8,0.339,196249.0
2021,12,WORKPOINT TV,0.605,432414.0
2021,12,ONE,0.625,711662.0
2021,12,PPTV,0.165,76533.0
2021,12,MONO 29,0.735,960901.0
2021,12,AMARIN TV,0.515,150958.0
2021,12,NATION TV,0.12,83265.0
2021,12,TNN,0.03,39649.0
2021,12,THAIRATH TV,0.567,225148.0
2021,12,GMM25,0.093,206759.0
2021,12,JKN 18,0.054,29216.0
2021,12,TRUE4U,0.181,86719.0
2022,1,CH3,1.037,1149741.0
2022,1,CH5,0.039,62739.0
2022,1,CH7,1.403,563512.0
2022,1,MCOT HD,0.14,101016.0
2022,1,NBT,0.024,1966.0
2022,1,THAI PBS,0.071,0.0
2022,1,CH8,0.36,156363.0
2022,1,WORKPOINT TV,0.623,310412.0
2022,1,ONE,0.63,630033.0
2022,1,PPTV,0.187,74858.0
2022,1,MONO 29,0.752,738609.0
2022,1,AMARIN TV,0.511,104415.0
2022,1,NATION TV,0.134,63595.0
2022,1,TNN,0.039,38340.0
2022,1,THAIRATH TV,0.56,166549.0
2022,1,GMM25,0.104,188427.0
2022,1,JKN 18,0.071,32410.0
2022,1,TRUE4U,0.181,79904.0
